,pH_perm,NaOH mg/kg w,pH_outlet
0,4.0,6.542323407771708,7.994844146306755
1,4.0,6.825420518379895,8.094844198584802
2,4.0,7.16867355138519,8.19484426206599
3,4.0,7.582442435166053,8.29484433872966
4,4.0,8.0772585112818,8.39484443062333
5,4.0,8.663078073657434,8.49484453974064
6,4.0,9.348266291518067,8.594844667854336
7,4.0,10.138373311105548,8.694844816315866
8,4.0,11.03486474937245,8.794844985851448
9,4.0,12.034079718581525,8.894845176403782
10,4.0,13.12676636720611,8.99484538708302
11,4.0,14.298529196269344,9.094845616287595
12,4.0,15.531372747292625,9.194845862029867
13,4.0,16.806258858997722,9.294846122454393
14,4.0,18.106301185793534,9.39484639648607
15,4.0,19.420033907844292,9.494846684512481
16,4.0,20.744208461791565,9.594846989009804
17,4.0,22.085789010823333,9.694847315060784
18,4.0,23.46313235307443,9.794847670770423
19,4.0,24.90661791425159,9.894848067637012
20,4.0,26.45914985905014,9.994848520966148
21,4.0,28.176973910175843,10.094849050422791
22,4.0,30.131181577414743,10.194849680809895
23,4.0,32.410177988154985,10.294850443150821
24,4.0,35.12331784760188,10.394851376148607
25,4.0,38.40589424670556,10.49485252810103
26,4.0,42.42570120548834,10.5948539607479
27,4.0,47.39148047345731,10.694855747206082
28,4.0,53.56367651284984,10.794857983446411
29,4.0,61.26810294961275,10.894860788590941
30,4.0,70.91331521200202,10.99486431251982
31,4.0,83.01276887332918,11.09486874409024
32,4.0,98.21321460959906,11.19487432163765
33,4.0,117.33129250367804,11.294881346445544
34,4.0,141.40097733453894,11.394890200093903
35,4.0,171.7354287703026,11.494901366886968
36,4.0,210.00794233493755,11.594915462930816
37,4.0,258.3580990307109,11.694933273893238
38,4.0,319.5309100457779,11.794955804054021
39,4.0,397.05883611010637,11.894984339980693
40,4.0,495.4992094995163,11.995020533107994
41,4.1,5.626339027129996,7.994843802290443
42,4.1,5.909402846689501,8.094843854567962
43,4.1,6.252616766611405,8.194843918048745
44,4.1,6.666340454524542,8.294843994712263
45,4.1,7.161105366661225,8.394844086606236
46,4.1,7.746868449175768,8.494844195724593
47,4.1,8.431996209784346,8.594844323840428
48,4.1,9.222040901756309,8.694844472305633
49,4.1,10.118470967518652,8.794844641846868
50,4.1,11.117628825525715,8.894844832407259
51,4.1,12.210265963480175,8.99484504309726
52,4.1,13.381989651182538,9.094845272315359
53,4.1,14.614806003888324,9.194845518073643
54,4.1,15.889676769021408,9.294845778516127
55,4.1,17.18971368039562,9.394846052566733
56,4.1,18.50344735620741,9.494846340611799
57,4.1,19.827624478218784,9.594846645126218
58,4.1,21.16920380492451,9.69484697119138
59,4.1,22.546536518253507,9.794847326910965
60,4.1,23.98999642806184,9.894847723782085
61,4.1,25.542482030120603,9.994848177109025
62,4.1,27.260233042718205,10.094848706555549
63,4.1,29.21433420552888,10.19484933692313
64,4.1,31.493182604479113,10.294850099233477
65,4.1,34.206123104779614,10.394851032187425
66,4.1,37.488436617459946,10.49485218408016
67,4.1,41.50790207345181,10.594853616648507
68,4.1,46.473242599694466,10.694855403005029
69,4.1,52.64487982166042,10.79485763911581
70,4.1,60.34859960327667,10.89486044409714
71,4.1,69.99292402597706,10.994863967822415
72,4.1,82.09126927765917,11.094868399141149
73,4.1,97.29034058303915,11.194873976380356
74,4.1,116.40672719173712,11.294881000814728
75,4.1,140.47434936260782,11.394889854015666
76,4.1,170.80631145110314,11.494901020279924
77,4.1,209.07585690991746,11.594915115708162
78,4.1,257.4225226288045,11.694932925965809
79,4.1,318.59128817203424,11.794955455333977
80,4.1,396.1145984110239,11.894983990385256
81,4.1,494.5497867222127,11.995020182562422
82,4.2,4.898273448356741,7.994843528838375
83,4.2,5.181310769786099,8.094843581115478
84,4.2,5.5244935577656955,8.194843644595931
85,4.2,5.938181272035153,8.294843721259328
86,4.2,6.4329054594141875,8.394843813153546
87,4.2,7.018623585851192,8.494843922272741
88,4.2,7.703703224299168,8.594844050390284
89,4.2,8.49369830428521,8.694844198858412
90,4.2,9.390079518001144,8.794844368404148
91,4.2,10.389191915127919,8.89484455897096
92,4.2,11.481789641593421,8.994844769669527
93,4.2,12.65348217156271,9.094844998898392
94,4.2,13.886276873026294,9.194845244669459
95,4.2,15.161135421648613,9.294845505126238
96,4.2,16.461168022909657,9.394845779191868
97,4.2,17.77490245887411,9.494846067251796
98,4.2,19.099081627947665,9.594846371779871
99,4.2,20.440659986114184,9.694846697856324
100,4.2,21.817984244405636,9.794847053583862
101,4.2,23.261423743060046,9.89484745045856
102,4.2,24.81387246553004,9.994847903783773
103,4.2,26.531565351565163,10.094848433222209
104,4.2,28.485581751990352,10.19484906357432
105,4.2,30.76431235385102,10.294849825860272
106,4.2,33.47709419233788,10.394850758779373
107,4.2,36.759198486409794,10.494851910624616
108,4.2,40.778392160224165,10.594853343130485
109,4.2,45.74338352403129,10.694855129406122
110,4.2,51.91457603523597,10.794857365413836
111,4.2,59.617733473337566,10.894860170265328
112,4.2,69.26135139663059,10.99486369382863
113,4.2,81.35881467293267,11.094868124947155
114,4.2,96.5567923900458,11.194873701941221
115,4.2,115.67183339539469,11.294880726078526
116,4.2,139.73781463000313,11.39488957892367
117,4.2,170.06779652281563,11.494900744767476
118,4.2,208.33498120026863,11.594914839706325
119,4.2,256.6788705738679,11.694932649403798
120,4.2,317.8444191716563,11.794955178142093
121,4.2,395.364059362071,11.894983712497845
122,4.2,493.7951254844064,11.99501990392024
123,4.3,4.319302898652702,7.994843311376602
124,4.3,4.602319125224143,8.09484336365337
125,4.3,4.94547712905833,8.194843427133568
126,4.3,5.359136204492942,8.294843503796868
127,4.3,5.853827970888669,8.394843595691286
128,4.3,6.439510307201417,8.49484370481114
129,4.3,7.124551634282291,8.59484383293004
130,4.3,7.914507217236445,8.694843981400501
131,4.3,8.810849538049668,8.79484415094983
132,4.3,9.809925741991524,8.894844341521754
133,4.3,10.90249209075642,8.994844552227145
134,4.3,12.074159814057781,9.09484478146458
135,4.3,13.306937277342254,9.19484502724582
136,4.3,14.581786099435119,9.29484528771396
137,4.3,15.881815269316341,9.39484556179159
138,4.3,17.195550311825627,9.494845849863376
139,4.3,18.519731112609247,9.594846154402289
140,4.3,19.86130870238143,9.694846480487755
141,4.3,21.238626233119376,9.794846836221634
142,4.3,22.68204948643262,9.894847233099178
143,4.3,24.23446885361021,9.994847686423011
144,4.3,25.95211547022806,10.09484821585509
145,4.3,27.906064397815264,10.194848846194798
146,4.3,30.18470123034471,10.294849608461396
147,4.3,32.8973567701674,10.394850541352723
148,4.3,36.179294522316184,10.494851693160166
149,4.3,40.19827185500755,10.594853125616307
150,4.3,45.162985286569494,10.694854911827573
151,4.3,51.33382381608872,10.794857147753264
152,4.3,59.03653364953448,10.894859952501433
153,4.3,68.67958924338055,10.994863475935842
154,4.3,80.77635054893496,11.09486790689506
155,4.3,95.97345791235708,11.194873483694078
156,4.3,115.08742805352037,11.294880507595039
157,4.3,139.15210347758835,11.394889360157148
158,4.3,169.48050970637757,11.494900525666518
159,4.3,207.74581604334622,11.59491462021615
160,4.3,256.0874966387617,11.69493242946817
161,4.3,317.25048617520486,11.794954957705661
162,4.3,394.76720714317787,11.894983491508498
163,4.3,493.19499470372733,11.995019682330959
164,4.4,3.8585655554845304,7.994843138318303
165,4.4,4.141564980543673,8.094843190594808
166,4.4,4.484703243854923,8.1948432540748
167,4.4,4.898339508528559,8.294843330738026
168,4.4,5.393005451688063,8.394843422632597
169,4.4,5.978659281174905,8.494843531752984
170,4.4,6.663670093444604,8.594843659872977
171,4.4,7.453594216352426,8.694843808345295
172,4.4,8.349905558475914,8.79484397789747
173,4.4,9.3489529333849,8.894844168473476
174,4.4,10.441494288836294,8.994844379184293
175,4.4,11.613142252502554,9.094844608428572
176,4.4,12.84590598493906,9.19484485421791
177,4.4,14.120747059428723,9.294845114695132
178,4.4,15.420773496412293,9.394845388782302
179,4.4,16.7345090224807,9.494845676863534
180,4.4,18.05869112431259,9.594845981411074
181,4.4,19.400268104058533,9.694846307503719
182,4.4,20.777580278629703,9.794846663242625
183,4.4,22.220990595209038,9.894847060122466
184,4.4,23.77338658422878,9.994847513445222
185,4.4,25.49099635124051,10.094848042872197
186,4.4,27.444891542024276,10.194848673202083
187,4.4,29.723453694155562,10.294849435453257
188,4.4,32.43600864622192,10.394850368322452
189,4.4,35.717813760577606,10.494851520099825
190,4.4,39.736618795884,10.594852952516328
191,4.4,44.70111088035641,10.694854738676336
192,4.4,50.87166750094999,10.794856974536714
193,4.4,58.574020872178515,10.894859779202609
194,4.4,68.21662865042444,10.994863302534394
195,4.4,80.31283095318558,11.094867733366772
196,4.4,95.50924525077949,11.194873310010504
197,4.4,114.62236269732483,11.294880333723318
198,4.4,138.68599840165416,11.394889186060125
199,4.4,169.0131501230669,11.494900351303302
200,4.4,207.27696107066222,11.59491444554317
201,4.4,255.6168833374207,11.694932254440712
202,4.4,316.77783585387465,11.794954782279726
203,4.4,394.29223329137693,11.894983315642667
204,4.4,492.71741150164087,11.995019505987887
205,4.5,3.491511642311525,7.994843000445401
206,4.5,3.774497672584208,8.094843052721695
207,4.5,4.117620198412152,8.194843116201522
208,4.5,4.5312382776821485,8.29484319286469
209,4.5,5.025883633699492,8.394843284759387
210,4.5,5.611514736547309,8.494843393880199
211,4.5,6.296501221018968,8.59484352200106
212,4.5,7.086400262725743,8.694843670474851
213,4.5,7.982686907028288,8.794843840029309
214,4.5,8.981711297887923,8.894844030608564
215,4.5,10.074232727236536,8.994844241323715
216,4.5,11.24586493722033,9.09484447057344
217,4.5,12.478617722364417,9.194844716369252
218,4.5,13.753452619858844,9.294844976853685
219,4.5,15.05347687826863,9.39484525094848
220,4.5,16.367212790630145,9.494845539037218
221,4.5,17.691395930487115,9.594845843591667
222,4.5,19.032972425110867,9.694846169690042
223,4.5,20.410280331203545,9.794846525432959
224,4.5,21.85368033623642,9.89484692231463
225,4.5,23.406057689544312,9.994847375636551
226,4.5,25.12363808172518,10.094847905059401
227,4.5,27.077490435110928,10.194848535381466
228,4.5,29.35599305383959,10.294849297620354
229,4.5,32.068467820564514,10.394850230471969
230,4.5,35.35016720030729,10.494851382225326
231,4.5,39.36883488663611,10.594852814610219
232,4.5,44.33315052297316,10.69485460072937
233,4.5,50.503482421083945,10.79485683653769
234,4.5,58.20555164449248,10.894859641138012
235,4.5,67.84780246111812,10.994863164388004
236,4.5,79.94355918426045,11.094867595119295
237,4.5,95.13942105755389,11.194873171639273
238,4.5,114.25185886851091,11.294880195202149
239,4.5,138.31466590484385,11.394889047359424
240,4.5,168.64081782010976,11.494900212390501
241,4.5,206.90343705004642,11.594914306383574
242,4.5,255.2419581387582,11.694932114998718
243,4.5,316.40128749369063,11.794954642520311
244,4.5,393.9138335854708,11.894983175532877
245,4.5,492.33693283924816,11.995019365498004
246,4.6,3.1985929913379523,7.994842890417168
247,4.6,3.4815683260446275,8.094842942693292
248,4.6,3.8246782857299526,8.19484300617299
249,4.6,4.238281844585063,8.294843082836106
250,4.6,4.732910762221263,8.394843174730909
251,4.6,5.318523718316066,8.494843283852058
252,4.6,6.003490777508955,8.594843411973606
253,4.6,6.793369792010302,8.694843560448584
254,4.6,7.689636715186272,8.794843730004864
255,4.6,8.688642753677248,8.894843920586707
256,4.6,9.781148272041033,8.994844131305328
257,4.6,10.952767902738154,9.094844360559398
258,4.6,12.185511946233257,9.194844606360355
259,4.6,13.460341911438908,9.294844866850589
260,4.6,14.760364430357384,9.394845140951452
261,4.6,16.074100651497613,9.494845429046208
262,4.6,17.39828462092206,9.594845733606165
263,4.6,18.739860729110603,9.694846059709098
264,4.6,20.117165228122197,9.794846415455236
265,4.6,21.56055700114016,9.894846812338363
266,4.6,23.11291947594649,9.994847265659592
267,4.6,24.830476414870777,10.094847795079211
268,4.6,26.78429456636038,10.194848425395037
269,4.6,29.06274965242153,10.294849187624079
270,4.6,31.775160396942564,10.394850120461658
271,4.6,35.05677535625843,10.494851272195877
272,4.6,39.07533338102812,10.594852704555468
273,4.6,44.03950813974178,10.694854490642001
274,4.6,50.209660619089796,10.794856726408764
275,4.6,57.91150298094496,10.894859530956737
276,4.6,67.5534688067549,10.994863054141433
277,4.6,79.64886979529221,11.094867484792026
278,4.6,94.84429064384364,11.194873061213217
279,4.6,113.95618588768868,11.294880084656413
280,4.6,138.01833140463526,11.39488893667039
281,4.6,168.34368521247148,11.494900101532185
282,4.6,206.60535318237103,11.594914195328293
283,4.6,254.94275586804852,11.694932003718082
284,4.6,316.1007897016066,11.794954530986386
285,4.6,393.6118582229466,11.894983063719387
286,4.6,492.0332983323934,11.995019253381262
287,4.7,2.964221585348803,7.994842802379551
288,4.7,3.247188358586617,8.09484285465554
289,4.7,3.5902882595176235,8.194842918135132
290,4.7,4.003880194836461,8.294842994798216
291,4.7,4.498495953710797,8.394843086693097
292,4.7,5.084094383422602,8.494843195814518
293,4.7,5.769045892914545,8.594843323936617
294,4.7,6.558908875932055,8.694843472412542
295,4.7,7.455160012529898,8.794843641970283
296,4.7,8.454151359591178,8.894843832554205
297,4.7,9.546644140868583,8.994844043275599
298,4.7,10.718253701656701,9.094844272533146
299,4.7,11.950990747967554,9.194844518338241
300,4.7,13.225816764841262,9.294844778833093
301,4.7,14.525837891413573,9.394845052938827
302,4.7,15.839574360088326,9.494845341038408
303,4.7,17.163758994246695,9.594845645602776
304,4.7,18.50533479401177,9.694845971709345
305,4.7,19.882636566662217,9.794846327458062
306,4.7,21.32602175116946,9.894846724342354
307,4.7,22.878372317249053,9.994847177663033
308,4.7,24.59591048397647,10.0948477070801
309,4.7,26.54970125924202,10.19484833739088
310,4.7,28.82811829894863,10.294849099612085
311,4.7,31.540477798636903,10.394850032438383
312,4.7,34.82202518514891,10.494851184157335
313,4.7,38.8404954340632,10.594852616496608
314,4.7,43.80455743135228,10.694854402557036
315,4.7,49.974566300960795,10.794856638290534
316,4.7,57.67622708196275,10.894859442796609
317,4.7,67.31796480208125,10.994862965929046
318,4.7,79.41308106673374,11.094867396515054
319,4.7,94.6081489336136,11.194872972857187
320,4.7,113.71960993448047,11.294879996204605
321,4.7,137.78122601977284,11.394888848103909
322,4.7,168.10594110250034,11.494900012830243
323,4.7,206.36684780690305,11.59491410646875
324,4.7,254.70335550302326,11.694931914678223
325,4.7,315.860352654256,11.794954441743881
326,4.7,393.37023886829917,11.894982974253223
327,4.7,491.7903514379516,11.995019163672506
328,4.8,2.775941436861318,7.994842731654458
329,4.8,3.058901329648296,8.094842783930337
330,4.8,3.4019931469856415,8.194842847409847
331,4.8,3.8155757412865983,8.2948429240729
332,4.8,4.3101809252360335,8.394843015967842
333,4.8,4.8957676811089135,8.494843125089485
334,4.8,5.580706694228302,8.59484325321203
335,4.8,6.370556793727555,8.69484340168872
336,4.8,7.266795243541672,8.794843571247629
337,4.8,8.265774784257745,8.894843761833219
338,4.8,9.358257329655814,8.99484397255683
339,4.8,10.529858797827055,9.094844201817196
340,4.8,11.762590220471852,9.194844447625618
341,4.8,13.037413064583891,9.29484470812416
342,4.8,14.337433072632669,9.39484498223383
343,4.8,15.651169740315513,9.494845270337253
344,4.8,16.975354909472436,9.594845574905177
345,4.8,18.316930461845086,9.694845901014686
346,4.8,19.694230044482868,9.794846256765485
347,4.8,21.137609935133256,9.894846653650712
348,4.8,22.689950932625194,9.994847106970953
349,4.8,24.407474014880155,10.094847636385898
350,4.8,26.361242791829408,10.194848266692714
351,4.8,28.63962925846471,10.294849028907585
352,4.8,31.35194757946362,10.39484996172487
353,4.8,34.63344066710399,10.494851113431478
354,4.8,38.65184038239176,10.594852545754408
355,4.8,43.6158117687594,10.694854331793858
356,4.8,49.7857052401749,10.794856567500627
357,4.8,57.487220111085676,10.894859371973036
358,4.8,67.12877453906609,10.994862895063482
359,4.8,79.22366201872819,11.094867325597598
360,4.8,94.41844625793738,11.194872901876206
361,4.8,113.52955834333483,11.29487992514667
362,4.8,137.5907490389159,11.394888776953842
363,4.8,167.9149509300017,11.494899941571344
364,4.8,206.17524600530263,11.594914035083239
365,4.8,254.51103465832426,11.69493184314786
366,4.8,315.66719895954867,11.79495437005073
367,4.8,393.1761353679265,11.894982902380418
368,4.8,491.59518150166093,11.995019091604842
369,4.9,2.6237699629884403,7.994842674492549
370,4.9,2.9067242935667004,8.094842726768341
371,4.9,3.2498095754668856,8.194842790247783
372,4.9,3.66338461804658,8.294842866910807
373,4.9,4.157981252818621,8.394842958805805
374,4.9,4.743558570904957,8.494843067927624
375,4.9,5.4284874812196815,8.594843196050531
376,4.9,6.218327164730525,8.694843344527836
377,4.9,7.114555357919013,8.79484351408769
378,4.9,8.11352535335149,8.894843704674631
379,4.9,9.205999623536893,8.994843915400047
380,4.9,10.377594549308178,9.094844144662675
381,4.9,11.610321425602065,9.194844390473781
382,4.9,12.885141704634062,9.294844650975332
383,4.9,14.185160808585021,9.394844925088174
384,4.9,15.498897638046312,9.494845213194724
385,4.9,16.82308323982026,9.594845517765508
386,4.9,18.164658593113764,9.694845843877406
387,4.9,19.54195640585129,9.794846199629852
388,4.9,20.985332017863193,9.894846596515855
389,4.9,22.537665280824935,9.994847049835725
390,4.9,24.25517616966004,10.094847579249047
391,4.9,26.20892716405317,10.194848209552568
392,4.9,28.487288916739416,10.294848971762331
393,4.9,31.199573949744757,10.39484990457233
394,4.9,34.48102314327616,10.494851056268985
395,4.9,38.49936584107548,10.594852488578619
396,4.9,43.463263980244264,10.694854274601111
397,4.9,49.63306416745074,10.794856510286275
398,4.9,57.334461090221886,10.894859314731468
399,4.9,66.97586735280447,10.994862837787968
400,4.9,79.07056989476388,11.094867268280137
401,4.9,94.2651248677682,11.194872844507396
402,4.9,113.37595491692028,11.294879867715656
403,4.9,137.43680176715569,11.394888719448357
404,4.9,167.7605888521941,11.494899883977896
405,4.9,206.02038956915234,11.594913977387455
406,4.9,254.35559706269635,11.694931785335005
407,4.9,315.5110882438759,11.794954312106313
408,4.9,393.0192570356917,11.89498284429081
409,4.9,491.4374413281091,11.995019033357767
410,5.0,2.499674482605906,7.994842627876728
411,5.0,2.78262427599857,8.09484268015245
412,5.0,3.125704227167498,8.194842743631835
413,5.0,3.5392731098747525,8.294842820294841
414,5.0,4.033862770979743,8.394842912189885
415,5.0,4.619432390770845,8.494843021311842
416,5.0,5.304353060402692,8.594843149435047
417,5.0,6.094184247809702,8.694843297912854
418,5.0,6.990404074558681,8.79484346747348
419,5.0,7.989366284234672,8.894843658061518
420,5.0,9.081833804344054,8.994843868788413
421,5.0,10.25342339334492,9.094844098052892
422,5.0,11.486146561381247,9.19484434386617
423,5.0,12.760964748519172,9.294844604370185
424,5.0,14.060983115124184,9.394844878485587
425,5.0,15.374720076807561,9.4948451665947
426,5.0,16.698906032192102,9.594845471167813
427,5.0,18.04048122370716,9.69484579728167
428,5.0,19.41777759400902,9.794846153035495
429,5.0,20.86114971723355,9.8948465499221
430,5.0,22.41347667239895,9.994847003241706
431,5.0,24.130977616868538,10.094847532653631
432,5.0,26.08471410825377,10.194848162954496
433,5.0,28.363055704780756,10.29484892516015
434,5.0,31.07531358870552,10.394849857964186
